user_id,synch,asynch,upqa,tpqa,is_lira,course_id,tqc_fa,eqc_fa,eqc_fa_sr,tq_fa_sr,rc
26245,0,27,27,44,0,4,27,0,0,0.7105263157894737,0
26410,0,0,0,0,1,5,0,0,0,0,0
26426,4,79,83,188,1,5,43,8,0.5333333333333333,0.7678571428571429,0
26491,0,42,42,77,1,5,21,0,0,0.4666666666666667,0
26596,0,28,28,38,1,5,27,0,0,0.6136363636363636,0
26656,11,0,11,11,0,4,13,11,1,0.5416666666666666,0
26773,0,83,83,146,1,5,32,10,0.6666666666666666,0.5714285714285714,0
26880,12,71,83,147,1,5,40,10,0.6666666666666666,0.7142857142857143,0
26941,0,82,82,269,1,5,26,3,0.75,0.5306122448979592,0
27076,0,81,81,126,0,4,36,12,0.8,0.6428571428571429,1
27081,3,78,81,143,0,4,40,13,0.8666666666666667,0.7142857142857143,0
27082,3,80,83,165,1,5,39,11,0.7333333333333333,0.6964285714285714,0
27088,0,69,69,115,0,4,42,0,0,0.8571428571428571,0
27099,1,6,7,12,1,5,0,0,0,0,0
27106,0,4,4,4,0,4,0,0,0,0,0
27159,2,34,36,93,1,5,23,11,0.7333333333333333,0.6216216216216216,0
27213,0,9,9,21,1,5,27,4,0.6666666666666666,0.4821428571428571,0
27356,23,56,83,142,1,5,33,9,0.6,0.5892857142857143,0
27384,0,55,55,138,0,4,14,0,0,0.4666666666666667,0
27473,12,71,83,133,1,5,43,13,0.8666666666666667,0.7678571428571429,1
27535,0,14,14,37,1,5,12,0,0,0.3870967741935484,0
27876,0,7,7,19,1,5,16,8,0.5333333333333333,0.4705882352941176,0
27911,3,80,83,131,1,5,38,11,0.7333333333333333,0.6785714285714286,0
27980,0,22,22,47,0,4,4,0,0,0.4444444444444444,0
28121,0,37,37,63,1,5,5,0,0,0.8333333333333334,0
28190,3,78,81,167,0,4,20,11,0.7333333333333333,0.4651162790697674,0
28202,4,56,60,104,1,5,18,0,0,0.6,0
28287,4,8,12,12,1,5,0,0,0,0,0
28411,0,18,18,41,1,5,9,0,0,0.75,0
28500,0,28,28,71,0,4,13,9,0.6,0.4814814814814814,0
28669,28,44,72,168,1,5,44,12,0.8,0.7857142857142857,0
28698,19,64,83,194,1,5,44,14,0.9333333333333332,0.7857142857142857,1
28755,0,2,2,2,1,5,0,0,0,0,0
28780,0,55,55,105,0,4,36,11,0.7333333333333333,0.6428571428571429,0
29567,6,73,81,179,0,4,40,12,0.8,0.7142857142857143,0
29656,11,70,81,111,0,4,37,14,0.9333333333333332,0.6607142857142857,1
29750,2,79,81,143,0,4,41,13,0.8666666666666667,0.7321428571428571,0
29754,0,81,81,148,0,4,28,11,0.7333333333333333,0.5,0
29869,6,77,83,249,1,5,43,12,0.8,0.7678571428571429,0
30295,5,39,44,166,1,5,18,11,0.7333333333333333,0.6,0
30512,0,7,7,10,0,4,5,0,0,0.625,0
30516,8,75,83,144,1,5,40,11,0.7333333333333333,0.7142857142857143,0
30776,0,81,81,130,0,4,45,13,0.8666666666666667,0.8035714285714286,1
30978,2,25,27,77,1,5,14,0,0,0.5833333333333334,0
