"profile.schooling","mean_received_certificate"
"Completed A level",0.216216216216216
"P7 or below",0.0869565217391304
"S1",0.075
"S2",0.133333333333333
"S3",0.127659574468085
"S4",0.193333333333333
"S5 or above",0.266666666666667
"no-report",0.160621761658031
